Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,7.0714,6.8571,420.4375,3.3706
2,8.6964,8.5714,337.75,6.8429
3,13.6875,20.3929,302.375,10.0754
4,25.5982,26.3214,244.8125,13.4667
5,33.1786,31.6786,223.3125,16.8302
6,39.1607,34.2857,154.0,20.0777
7,44.8929,36.5714,243.25,23.4706
8,50.25,39.2143,230.3125,26.6756
9,55.4464,39.8929,218.375,29.9132
10,59.4018,41.25,161.9375,33.3728
11,63.5893,40.2143,209.1875,36.4674
12,67.4196,40.3571,194.75,39.9859
13,71.7679,40.9643,270.9375,43.3269
14,75.0268,40.6071,214.625,47.007
15,78.1607,39.4643,225.6875,50.4868
16,81.9554,40.1429,255.5,53.9249
17,84.9196,39.5,249.1875,57.2422
18,88.1339,40.1071,282.6875,60.576
19,90.5089,40.0714,173.9375,63.9015
20,93.1071,39.8571,268.3125,67.2762
21,94.3929,38.9643,237.875,70.7505
22,95.8214,39.2857,294.8125,74.1445
23,97.2679,39.1786,267.1875,77.4428
24,97.8571,39.0,239.9375,80.8374
25,98.0357,39.3214,228.3125,84.1749
26,98.6071,39.3571,164.125,87.6304
27,98.0982,39.1786,245.8125,90.8176
28,97.5804,38.2143,234.0,93.8926
29,98.5,38.3571,207.5,97.1923
30,99.2679,37.5357,260.5625,100.4555
31,98.9821,38.3214,194.0,103.8232
32,96.25,39.1786,162.375,107.1163
33,99.25,38.9643,225.0625,110.7273
34,99.9286,38.75,272.0,114.1519
35,100.0,38.8571,246.625,117.4956
36,100.0,38.5714,209.1875,120.7801
37,100.0,38.5357,218.4375,124.2306
38,100.0,38.8214,232.4375,127.6143
39,100.0,38.2857,278.8125,130.9097
40,99.7589,36.8214,224.9375,134.3229
41,84.75,37.7857,195.75,137.6875
42,98.0536,39.0357,259.4375,140.8601
43,99.8036,38.9286,209.4375,144.0262
44,100.0,39.0357,160.4375,147.38
45,100.0,39.2143,188.5,150.8925
46,100.0,39.3214,267.1875,154.3526
47,100.0,39.1786,214.1875,157.8053
48,100.0,38.9643,212.125,161.2675
49,100.0,38.8571,196.5,164.3414
50,100.0,38.7143,237.75,167.8466
