Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.8214,6.0714,536.1875,3.6687
2,8.4107,8.9286,422.75,7.1989
3,13.1429,18.5,325.125,10.3107
4,23.0446,25.4286,390.0,13.7976
5,30.6696,28.4286,223.625,17.018
6,36.1607,31.3214,249.6875,20.5856
7,41.4643,34.1071,214.8125,23.5771
8,46.75,35.1429,218.3125,26.7978
9,51.1429,37.7143,211.75,30.2049
10,56.0625,38.25,204.3125,33.6165
11,60.0893,40.1429,220.875,37.0742
12,64.2857,39.6071,229.9375,40.5661
13,68.5,39.3214,224.875,43.8346
14,72.3661,40.6071,226.375,47.1934
15,76.2054,39.7857,322.375,50.7717
16,79.5625,39.3214,278.3125,54.1778
17,83.6161,40.1071,195.5,57.3848
18,86.6161,38.7143,228.125,60.8533
19,89.5893,39.7857,234.5625,64.0921
20,91.7768,38.6071,284.25,67.1958
21,93.9911,38.3929,235.6875,70.3879
22,95.2679,38.8214,210.1875,73.7322
23,96.8214,38.3571,233.1875,76.8953
24,97.4286,38.3929,242.0,80.368
25,98.0714,37.5,211.4375,83.4115
26,98.2321,38.6071,309.75,86.8233
27,98.2679,37.4286,165.0625,90.0377
28,98.3036,36.7857,280.625,93.2218
29,98.0,37.75,284.3125,96.4345
30,98.1339,38.25,364.4375,99.8277
31,98.4643,37.3571,175.25,103.0228
32,99.3304,37.5714,254.375,106.4456
33,99.1518,37.6071,282.3125,109.7556
34,98.4464,36.8929,285.375,113.22
35,96.3482,37.3214,252.8125,116.8714
36,99.0714,37.8929,275.625,120.2241
37,99.9554,37.7143,320.8125,123.7289
38,100.0,38.2857,242.6875,126.9984
39,100.0,37.8571,251.0625,130.1476
40,100.0,38.1429,200.625,133.4921
41,100.0,37.8571,241.875,136.6326
42,100.0,37.8214,292.6875,139.7206
43,100.0,37.9643,247.0,142.9622
44,97.6875,35.3571,353.0625,146.1927
45,86.7768,37.0357,207.9375,149.5093
46,98.75,37.5357,257.5,152.7265
47,99.9464,37.2857,214.9375,156.0411
48,100.0,37.5714,268.3125,159.3908
49,100.0,37.3214,425.5,162.8556
50,100.0,37.7143,232.8125,166.3266
