Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.3661,6.468,678.9844,0.157
2,7.1339,6.577,674.8906,0.297
3,7.4286,6.686,668.5,0.4517
4,7.5714,6.3227,596.4062,0.6188
5,7.5982,6.1047,572.9531,0.7846
6,7.7321,6.359,731.8125,0.9545
7,7.9107,6.2137,638.3906,1.0953
8,8.2054,6.25,591.5,1.2912
9,8.1339,5.9593,587.8125,1.4418
10,8.3661,6.3227,679.8906,1.6102
11,8.5357,6.25,544.4844,1.8007
12,8.5982,5.9593,549.8906,2.0004
13,8.75,5.8503,525.1406,2.1698
14,8.9643,5.7049,566.1875,2.3839
15,9.0714,5.814,504.25,2.5792
16,9.1518,5.7413,527.8438,2.7509
17,9.3214,5.5233,486.3438,2.9222
18,9.5893,5.5596,458.4375,3.1247
19,9.75,5.4506,463.9844,3.3433
20,10.0804,5.3052,545.0469,3.5168
21,10.0446,5.2326,489.0156,3.648
22,10.2768,5.1962,442.1094,3.9292
23,10.6429,5.2689,467.8281,4.0526
24,10.7321,5.2326,455.3125,4.2531
25,10.8571,5.2689,412.3438,4.4062
26,10.9821,5.1599,434.1719,4.5353
27,11.0714,5.0872,431.9062,4.7097
28,11.125,5.1599,425.375,4.843
29,11.4107,5.3052,404.1094,4.9846
30,11.6161,5.3779,404.2188,5.1615
31,11.4375,5.3779,377.3125,5.3284
32,11.6339,5.3779,425.9844,5.4723
33,11.6339,5.4142,416.9844,5.6309
34,11.7679,5.4142,363.8281,5.8324
35,11.9286,5.3052,332.0312,6.0234
36,12.0625,5.3779,387.625,6.2366
37,12.1339,5.4506,370.1875,6.3638
38,12.1875,5.2326,338.4688,6.5346
39,12.2321,5.2689,403.2969,6.7623
40,12.3214,5.4142,321.3906,6.9134
41,12.1875,5.4506,406.4375,7.0642
42,12.2857,5.4506,344.6562,7.2738
43,12.4196,5.4869,382.7656,7.4011
44,12.4196,5.4506,384.2656,7.5302
45,12.7143,5.3416,342.6406,7.7567
46,12.6339,5.3052,308.5312,7.9789
47,12.6696,5.3052,426.1562,8.1588
48,12.7768,5.2689,326.5312,8.3463
49,13.0357,5.3052,372.4375,8.5689
50,12.9196,5.3052,313.7188,8.703
51,13.0089,5.3052,335.4688,8.8744
52,12.9554,5.2326,350.1719,9.0573
53,13.1071,5.3416,355.7812,9.2067
54,13.2232,5.4506,328.4844,9.3751
55,13.2679,5.3779,332.6562,9.5847
56,13.3571,5.4506,337.9531,9.749
57,13.4196,5.3779,320.4375,9.9137
58,13.4554,5.3416,325.5469,10.063
59,13.4196,5.4142,381.9688,10.2303
60,13.5179,5.3416,351.1406,10.3761
61,13.6339,5.3779,306.1875,10.5493
62,13.7321,5.3052,303.9531,10.7784
63,13.7589,5.3052,341.2188,10.9329
64,13.8125,5.1962,327.1562,11.1035
65,13.8661,5.1962,329.7188,11.2704
66,13.9196,5.1962,302.375,11.4487
67,13.9643,5.1599,333.1094,11.5874
68,13.9732,5.2326,326.5156,11.7754
69,14.0536,5.2326,288.3281,11.9254
70,14.0268,5.2326,309.3281,12.0791
71,14.0536,5.1962,317.4844,12.2356
72,13.9732,5.1962,334.1562,12.3813
73,14.0536,5.1599,351.6406,12.6213
74,13.9464,5.3052,341.0156,12.8166
75,14.0357,5.2689,269.5156,12.9602
76,14.0179,5.1962,270.2188,13.1857
77,14.0982,5.3052,299.4375,13.3211
78,14.0536,5.3779,280.5781,13.4601
79,14.0714,5.4869,317.5469,13.6721
80,14.1518,5.4142,314.9219,13.8246
81,14.1161,5.4869,281.4219,13.9889
82,14.1964,5.4142,283.75,14.1462
83,14.2411,5.3779,251.7969,14.3564
84,14.2143,5.4506,326.0156,14.4958
85,14.3304,5.4142,255.5156,14.639
86,14.3839,5.4869,277.3906,14.8
87,14.3036,5.4869,321.7812,14.9988
88,14.4554,5.4142,311.0781,15.1836
89,14.3482,5.4869,299.75,15.3245
90,14.5,5.4869,248.7812,15.4942
91,14.5625,5.5233,263.1719,15.6462
92,14.6071,5.5233,264.4844,15.802
93,14.6339,5.5596,249.875,15.9573
94,14.6696,5.4869,288.9062,16.1559
95,14.6786,5.5233,257.4688,16.2887
96,14.7946,5.5233,240.5781,16.4658
97,14.7143,5.5959,291.0,16.6353
98,14.9018,5.6323,306.0,16.7859
99,14.875,5.6686,297.0156,16.9734
100,14.8393,5.6686,263.9219,17.1829
