Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.9018,7.5581,562.3438,0.1834
2,7.8036,6.7224,372.5312,0.3632
3,9.0536,6.6134,436.4688,0.58
4,9.9375,6.141,306.2031,0.7182
5,10.8661,6.032,320.1406,0.8773
6,11.4554,6.3953,261.6875,1.0616
7,12.4375,6.686,302.1875,1.2198
8,12.75,6.6497,280.7656,1.3938
9,12.9464,6.6497,270.2812,1.5663
10,13.375,6.686,209.7969,1.7187
11,13.6696,6.5407,226.0312,1.8406
12,13.8036,6.577,230.5312,2.0319
13,14.3482,6.5044,210.9844,2.1759
14,14.4196,6.7951,237.2969,2.3444
15,14.8125,6.577,266.0781,2.5526
16,15.0446,7.0494,236.7969,2.7075
17,15.5179,6.8314,226.1094,2.8502
18,15.375,6.9041,222.4688,3.0429
19,15.5893,6.6134,200.7344,3.2201
20,15.8929,6.9041,231.5469,3.3721
21,15.9464,6.7951,192.4688,3.4965
22,16.1696,6.577,212.0625,3.6705
23,16.125,6.7224,184.3594,3.7918
24,16.375,6.8677,227.5781,3.9785
25,16.2321,6.9404,202.5938,4.1313
26,16.1518,7.0131,166.5,4.3077
27,16.7857,6.9041,183.5156,4.4411
28,16.5357,6.9404,217.625,4.6052
29,16.7054,6.7951,190.0,4.8018
30,17.0804,6.9041,197.5938,4.9554
31,16.7946,6.8314,187.5,5.1379
32,17.0268,6.9404,183.4219,5.2693
33,17.3571,6.9404,199.8906,5.4322
34,17.25,6.9404,197.8594,5.6697
35,17.3661,6.9404,190.6875,5.8368
36,17.4732,6.9404,221.7812,5.9848
37,17.6696,6.4317,166.0,6.1506
38,17.4911,7.0131,183.3906,6.3039
39,17.5714,7.1221,174.3125,6.4602
40,17.7857,6.7951,182.8125,6.6312
41,17.7321,6.7951,181.9375,6.8277
42,17.8214,6.686,177.8906,6.9769
43,17.9821,6.8314,193.1719,7.1186
44,17.8036,6.577,193.9531,7.3158
45,17.875,6.7224,184.75,7.4859
46,18.0446,6.8677,169.4531,7.6341
47,17.8393,6.7224,196.5312,7.801
48,17.9018,6.6497,185.9531,7.9672
49,18.0804,6.7951,174.625,8.2306
50,17.9554,6.7224,183.7969,8.4555
51,18.2768,6.9404,178.9531,8.5845
52,18.2857,6.7224,185.25,8.767
53,18.125,6.8677,172.1562,8.9338
54,18.2143,6.8314,196.1719,9.1021
55,18.2589,6.8314,194.1406,9.2443
56,18.1875,6.8677,183.0,9.4276
57,18.25,6.9404,201.7188,9.5843
58,18.1875,6.8314,184.7656,9.8188
59,18.4196,6.7951,148.25,9.9908
60,18.3839,6.9404,202.2188,10.1566
61,18.2679,6.8677,178.6406,10.3676
62,18.1875,6.8677,176.4531,10.519
63,18.4196,6.686,195.7812,10.6465
64,18.3839,6.9404,198.0312,10.8173
65,18.2768,6.7951,190.1406,10.9462
66,18.2143,6.9767,179.5781,11.0836
67,18.2589,7.0131,161.2031,11.2516
68,18.2946,6.6497,181.7344,11.4143
69,18.3214,6.6497,161.0469,11.5673
70,18.5089,6.8314,161.8906,11.7467
71,18.4196,6.6497,160.9531,11.9327
72,18.4732,7.2311,154.1875,12.0713
73,18.5804,6.7224,173.2812,12.2358
74,18.4732,6.7587,175.6719,12.4347
75,18.3304,6.7224,179.6562,12.5991
76,18.3214,6.8314,184.8281,12.7719
77,18.5804,6.8314,168.125,12.9305
78,18.4732,6.686,167.9219,13.085
79,18.5982,6.8314,164.8594,13.2246
80,18.4643,6.7224,163.7344,13.3876
81,18.5714,6.9767,194.4844,13.5722
82,18.4643,6.686,164.9531,13.723
83,18.375,6.8314,137.5781,13.9033
84,18.6161,6.9041,171.1406,14.0597
85,18.3393,6.686,181.8906,14.2162
86,18.5268,6.8677,181.8125,14.3654
87,18.5536,6.9404,163.5781,14.5325
88,18.5893,6.686,168.6406,14.7554
89,18.4286,6.7951,157.0156,14.9353
90,18.4821,6.9041,174.0156,15.1048
91,18.3571,6.8677,179.8594,15.254
92,18.4196,6.8677,173.4844,15.4167
93,18.3304,6.8677,194.4688,15.7224
94,18.6696,6.8314,151.4844,15.8692
95,18.5893,6.7587,160.1875,16.037
96,18.5089,6.7587,176.4062,16.1812
97,18.5982,6.9404,166.0469,16.3767
98,18.4196,6.9767,175.1875,16.5247
99,18.7054,6.9041,193.75,16.692
100,18.7054,6.9041,192.2812,16.8273
