Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.9018,6.7587,541.6562,0.2406
2,7.7054,6.1047,443.5156,0.4085
3,8.4464,5.5233,503.75,0.5633
4,9.1339,5.4142,335.6875,0.7025
5,10.4018,5.3052,379.4844,0.8448
6,10.5089,5.7413,317.2344,1.0942
7,10.8839,5.7413,353.7344,1.3083
8,11.7768,5.5959,300.3438,1.4475
9,11.8482,5.6323,265.6719,1.6297
10,12.3214,6.032,313.2188,1.7849
11,12.6429,6.2137,274.375,1.9677
12,12.8571,6.2137,257.7812,2.1158
13,13.2946,6.2863,272.4219,2.2876
14,13.4821,6.25,255.9219,2.4503
15,13.6161,6.141,275.9219,2.6588
16,13.8482,6.032,244.1406,2.8786
17,14.2411,6.25,293.3906,3.0282
18,14.1875,6.25,241.1406,3.1948
19,14.5536,6.6134,254.4062,3.3721
20,14.75,6.359,275.9062,3.5468
21,14.5893,6.25,226.2344,3.7399
22,14.8661,6.359,223.9062,3.8922
23,14.9018,6.5044,215.7344,4.0574
24,15.3839,6.3227,274.25,4.2337
25,15.4018,6.2863,270.2969,4.4462
26,15.4643,6.4317,255.1094,4.5964
27,15.6339,6.2863,226.2656,4.7498
28,15.8125,6.25,221.8594,4.9031
29,15.9286,6.1773,208.3125,5.0246
30,15.8839,6.359,249.4375,5.2054
31,15.9732,6.3953,226.0625,5.363
32,16.0357,6.3953,239.5,5.5541
33,16.3393,6.5044,222.3906,5.7297
34,16.1518,6.3953,231.5156,5.9041
35,16.4018,6.5407,225.7031,6.0538
36,16.2143,6.3227,254.9062,6.2321
37,16.3482,6.2863,249.3281,6.3968
38,16.6161,6.577,188.5938,6.5319
39,16.625,6.468,186.875,6.6697
40,16.5179,6.4317,230.4062,6.848
41,16.7857,6.2137,229.4531,7.0062
42,16.6875,6.5044,264.7969,7.1811
43,16.8393,6.577,234.5938,7.3606
44,16.7589,6.3953,218.7031,7.507
45,17.0268,6.6134,206.875,7.6953
46,16.9286,6.5407,206.9844,7.8648
47,17.0089,6.5407,204.4062,8.0109
48,17.2321,6.6134,179.2188,8.243
49,17.25,6.6497,208.7656,8.3855
50,17.3661,6.7224,195.3438,8.5659
51,17.3571,6.686,193.5469,8.757
52,17.5625,6.686,207.4688,8.9234
53,17.3482,6.7224,196.4375,9.0894
54,17.3214,6.686,182.8906,9.2949
55,17.5446,6.7224,194.4531,9.4267
56,17.7054,6.7951,217.9844,9.5914
57,17.8482,6.6134,195.1094,9.7609
58,17.4821,6.6134,217.8438,9.8913
59,17.6696,6.6134,175.875,10.0575
60,17.7768,6.7951,192.7969,10.2065
61,17.7232,6.7224,187.875,10.3678
62,17.7321,6.7951,209.0625,10.5518
63,17.8571,6.5044,178.0312,10.7377
64,17.8839,6.468,189.5469,10.9217
65,17.8839,6.6497,188.375,11.1514
66,18.0982,6.686,154.0781,11.3253
67,18.0446,6.7224,204.5781,11.497
68,17.9821,6.7224,188.2344,11.644
69,17.9821,6.468,168.375,11.813
70,17.875,6.7587,192.375,11.9882
71,18.1429,6.5044,203.7656,12.173
72,18.1518,6.577,184.4062,12.3009
73,18.3036,6.8314,184.5938,12.4375
74,18.1339,6.7587,196.0781,12.6311
75,18.2143,6.5407,161.9531,12.7528
76,18.3571,6.577,179.4531,12.9702
77,18.2411,6.577,165.5625,13.118
78,18.125,6.6497,209.0,13.2824
79,18.3214,6.7951,173.6562,13.428
80,18.1607,6.686,179.125,13.6126
81,18.3482,6.7587,174.5625,13.7993
82,18.3036,6.6134,192.5156,13.9517
83,18.2411,6.7587,190.7812,14.099
84,18.2857,6.686,165.9688,14.2387
85,18.4018,6.577,193.0625,14.4198
86,18.2857,6.577,158.5938,14.5704
87,18.4196,6.8314,169.6719,14.7442
88,18.4375,6.6134,198.3281,14.8924
89,18.4018,6.7951,187.0,15.0518
90,18.3929,6.7224,200.5156,15.1877
91,18.4107,6.6497,175.9375,15.3336
92,18.5179,6.686,195.7969,15.5897
93,18.4911,6.6134,171.4062,15.7851
94,18.5,6.6497,166.3125,15.942
95,18.4286,6.8314,159.3438,16.103
96,18.6518,6.6134,186.2344,16.2693
97,18.6875,6.7587,191.1719,16.4204
98,18.5,6.7951,176.4062,16.5799
99,18.6071,6.7224,198.7031,16.7753
100,18.5536,6.7587,174.7656,16.9244
