Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.875,6.5357,569.6875,0.3226
2,7.5714,6.7143,544.6875,0.5827
3,8.1696,6.5,446.8125,0.8853
4,9.2589,6.6429,567.125,1.2216
5,10.375,6.5714,332.5,1.5533
6,10.7946,6.3214,344.25,1.8281
7,11.3929,6.0714,323.3125,2.1494
8,11.5982,5.75,259.625,2.4654
9,12.1696,5.8214,335.375,2.7919
10,12.3214,5.75,305.625,3.1884
11,12.6786,5.4643,303.6875,3.5773
12,12.9107,5.8571,282.125,3.8815
13,13.3304,5.8929,149.8125,4.1339
14,13.5893,5.7857,333.875,4.4784
15,13.5089,5.8571,229.8125,4.8094
16,13.9643,5.6786,237.1875,5.2418
17,14.0982,5.7857,224.4375,5.6299
18,14.2857,5.8571,275.4375,5.9053
19,14.2857,5.8214,223.125,6.2028
20,14.3482,6.0357,304.125,6.5693
21,14.5982,6.0,158.4375,6.8443
22,14.7054,6.1786,309.75,7.1485
23,14.7768,6.1429,217.3125,7.4301
24,15.0,6.1071,262.625,7.7443
25,14.9911,6.1786,297.25,8.0321
26,15.0893,6.2143,216.0,8.3486
27,15.1161,6.3214,153.125,8.6415
28,15.2411,6.25,332.875,8.9096
29,15.4286,6.3214,236.6875,9.2719
30,15.3125,6.3929,225.75,9.6538
31,15.5179,6.3214,219.25,9.9092
32,15.6071,6.2857,236.5625,10.2804
33,15.7589,6.1786,230.5625,10.5789
34,15.6875,6.0714,264.625,10.8729
35,15.8839,6.0357,242.6875,11.1532
36,15.9286,6.0357,226.875,11.4707
37,16.0982,6.0714,192.125,11.8098
38,15.9464,6.25,266.9375,12.1505
39,16.2679,6.3214,169.0,12.4717
40,16.3304,6.3214,166.875,12.8873
41,16.2768,6.3929,155.0,13.2552
42,16.4107,6.25,221.25,13.5804
43,16.5625,6.4286,172.25,13.8773
44,16.6518,6.2857,175.375,14.1911
45,16.3571,6.3929,212.4375,14.4715
46,16.6786,6.2857,191.875,14.7724
47,16.75,6.3571,194.1875,15.2928
48,16.8125,6.4643,226.0625,15.5914
49,16.6696,6.4286,257.25,15.9206
50,16.7768,6.4643,174.75,16.2075
51,16.9732,6.5357,176.625,16.5369
52,16.9821,6.5,220.625,16.8866
53,16.8839,6.5,212.125,17.2007
54,17.0268,6.4643,153.0625,17.5532
55,17.0268,6.6429,185.1875,17.8326
56,17.1339,6.5714,178.875,18.1481
57,17.3393,6.6429,164.125,18.5586
58,17.3125,6.6429,196.9375,18.8616
59,17.0982,6.5714,197.0625,19.155
60,17.25,6.6429,202.3125,19.5185
61,17.3661,6.6786,264.875,19.8549
62,17.5446,6.7857,223.0625,20.2127
63,17.5,6.7143,251.1875,20.5386
64,17.5089,6.5714,210.6875,20.8006
65,17.5,6.7143,165.75,21.1442
66,17.5804,6.7857,173.125,21.3919
67,17.6875,6.7857,138.5,21.6425
68,17.4911,6.7857,191.875,21.9058
69,17.7321,6.75,191.3125,22.1742
70,17.5714,6.6429,219.5,22.4634
71,17.6429,6.6786,159.875,22.7663
72,17.7411,6.6429,184.0625,23.0156
73,17.8482,6.9286,173.0,23.3338
74,17.7857,6.9286,198.4375,23.662
75,18.0446,6.8571,177.75,24.021
76,17.8214,6.7143,164.375,24.2814
77,17.9107,6.7857,198.5625,24.6525
78,17.9554,6.8571,169.25,24.9262
79,18.125,6.8571,215.5,25.2075
80,18.0357,6.9643,182.4375,25.4856
81,17.9732,6.8571,185.9375,25.812
82,18.0,6.8929,198.6875,26.1036
83,18.0625,6.8929,179.5625,26.4111
84,18.0357,6.7857,181.625,26.752
85,18.1518,6.8571,238.25,27.0255
86,18.1518,6.8929,166.125,27.3167
87,18.1071,6.9643,199.0,27.5951
88,18.1786,6.9286,167.0,27.8876
89,18.2411,6.8571,165.375,28.2569
90,18.2321,6.8929,242.5,28.5346
91,18.4018,6.9643,132.5,28.8499
92,18.1786,7.0,159.25,29.163
93,18.1339,7.0357,176.5625,29.4482
94,18.2768,6.9643,192.8125,29.7903
95,18.3304,6.9643,214.625,30.1012
96,18.4107,6.9286,190.9375,30.362
97,18.3929,7.0,197.4375,30.6934
98,18.1786,6.8929,112.25,31.0279
99,18.4018,7.0,191.1875,31.3357
100,18.2321,7.0357,182.9375,31.6546
