Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.9643,6.9643,431.625,3.26
2,8.4554,9.6071,343.9375,6.5999
3,11.7946,13.1071,299.5625,10.1456
4,23.0625,25.1071,332.125,13.5851
5,31.3661,30.8214,207.3125,16.9004
6,38.1875,33.7143,217.0,20.2055
7,44.3839,37.3929,193.9375,23.3491
8,49.6786,38.3571,254.625,26.8488
9,54.4286,40.1429,244.75,30.1234
10,59.3036,40.7857,189.125,33.3996
11,62.5536,41.7143,247.0625,36.7217
12,67.8929,42.2143,175.8125,39.8639
13,71.4286,41.8929,207.4375,43.3798
14,75.3661,42.3571,283.0625,46.682
15,78.1875,41.2857,134.0625,49.9203
16,81.6339,41.5714,215.0625,53.0361
17,84.8839,40.8214,224.75,56.3684
18,87.4107,40.1429,180.625,59.7598
19,90.0357,40.7143,208.0,63.3723
20,92.8839,41.6429,211.5,66.6278
21,94.2589,40.3214,220.25,69.9332
22,95.75,39.3929,208.6875,73.3747
23,97.0982,40.0,278.75,76.8141
24,97.8393,40.1786,225.375,80.1964
25,98.0089,40.3571,205.25,83.4055
26,97.6696,38.5357,190.375,86.7117
27,98.2679,39.8214,225.1875,90.0181
28,99.2232,39.8214,246.6875,93.0375
29,98.7768,39.7143,254.4375,96.0764
30,96.1875,39.0,203.375,99.6232
31,98.7054,39.1786,188.0,102.7316
32,99.8214,39.8929,221.25,105.926
33,99.9821,40.5,261.0625,109.1863
34,99.9821,39.7857,200.4375,112.497
35,99.9911,40.0,300.75,115.9439
36,100.0,39.9643,185.0625,119.1034
37,100.0,39.8571,190.875,122.1561
38,100.0,39.25,220.9375,125.215
39,85.9286,39.1071,240.8125,128.602
40,96.6429,40.1429,266.875,132.0025
41,99.6786,39.9286,332.375,135.2253
42,100.0,40.2143,208.1875,138.7743
43,100.0,40.2143,199.625,142.1855
44,100.0,40.4286,183.0625,145.3379
45,100.0,40.0357,194.375,148.7029
46,100.0,39.5714,190.0,151.9494
47,100.0,39.8571,243.75,155.1322
48,100.0,40.0714,245.0,158.607
49,87.0268,38.8929,253.0625,161.8782
50,95.2321,38.6071,241.875,165.0251
